uniprot_id,protein,gene,description,CR6_T1,CR6_T2,CR7_T1,CR7_T2,CR8_T1,CR8_T2,CR9_T2,CR10_T2,CR12_T1,CR12_T2,CR15_T1,CR17_T1,CR17_T2,CR18_T1,CR18_T2,CR22_T1,CR22_T2,CR23_T1,CR25_T1,CR25_T2,CR72_T1,CR72_T2,CR149_T1,CR149_T2,CR163_T1,CR163_T2,CR383_T1,CR386_T2,logFC_Baseline_Supplement,CI.L_Baseline_Supplement,CI.R_Baseline_Supplement,average_intensity_Baseline_Supplement,t_Baseline_Supplement,B_Baseline_Supplement,P.Value_Baseline_Supplement,adj.P.Val_Baseline_Supplement,sig.PVal_Baseline_Supplement,sig.FDR_Baseline_Supplement,logFC_Training_CRE,CI.L_Training_CRE,CI.R_Training_CRE,average_intensity_Training_CRE,t_Training_CRE,B_Training_CRE,P.Value_Training_CRE,adj.P.Val_Training_CRE,sig.PVal_Training_CRE,sig.FDR_Training_CRE,logFC_Training_PLA,CI.L_Training_PLA,CI.R_Training_PLA,average_intensity_Training_PLA,t_Training_PLA,B_Training_PLA,P.Value_Training_PLA,adj.P.Val_Training_PLA,sig.PVal_Training_PLA,sig.FDR_Training_PLA,logFC_Supplement_Interaction,CI.L_Supplement_Interaction,CI.R_Supplement_Interaction,average_intensity_Supplement_Interaction,t_Supplement_Interaction,B_Supplement_Interaction,P.Value_Supplement_Interaction,adj.P.Val_Supplement_Interaction,sig.PVal_Supplement_Interaction,sig.FDR_Supplement_Interaction,pi_score_Baseline_Supplement,sig_pi_Baseline_Supplement,pi_score_Training_CRE,sig_pi_Training_CRE,pi_score_Training_PLA,sig_pi_Training_PLA,pi_score_Supplement_Interaction,sig_pi_Supplement_Interaction
P02144,MYG_HUMAN,MB,Myoglobin,31.8650141071531,31.4189415033803,28.4708643899665,31.3626387337645,30.4116937907585,31.1822982625123,32.242846916044,31.744064216606,31.8639309779286,31.3953712689394,31.3136187295859,31.4897896209998,31.1643563363248,30.9117351664429,31.3268576790069,31.3121418831992,31.2379155140582,32.5556167774103,31.5318512383887,31.495192632568,31.4929173887222,31.3115620424294,31.188806943254,30.6574261534647,31.5194694227009,31.1366729359522,31.6613858036629,31.5540064067442,0.317969865281793,-0.464755888615368,1.10069561917895,31.3149638157846,0.83197317687681,-5.4502726182654,0.412434000352438,0.766704231424404,0,0,0.0351342304698896,-0.629883790352768,0.700152251292547,31.3149638157846,0.108200686721675,-5.55016336455963,0.914604881616574,0.986326495554669,0,0,0.201030682854203,-0.517126665094636,0.919188030803041,31.3149638157846,0.573291793294805,-5.72268932668312,0.571003902195133,0.879704272613016,0,0,-0.165896452384313,-1.14467065741415,0.812877752645526,31.3149638157846,-0.34712633985667,-5.88192164147033,0.731081014583487,0.918057278250498,0,0,0.7545609218342852,0,0.9968687213173575,0,0.8934638538759743,0,0.9493631274142892,0
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,30.9133409536491,30.56461584825,27.9524522681308,30.8888765825346,30.7422309935382,30.9786839013191,30.499309350434,30.7832544015189,30.5167829162057,30.6100382768155,30.7170585353266,30.8518030704891,30.9494209032586,30.6675306062091,30.9209183194592,30.9838237695847,30.9343729278899,31.0107864783807,30.6358221266016,30.6037156358918,30.67057992887,30.725767449283,31.1839690889043,31.0069021087883,30.561437477546,30.5281135330758,30.6639652740692,31.1440159219059,0.197851930469533,-0.445950851857282,0.841654712796347,30.6860567374261,0.629390854849563,-5.58606148155542,0.534173778952654,0.821086312902604,0,0,0.0307157537438414,-0.516270786524451,0.577702294012133,30.6860567374261,0.115005211958254,-5.54949253795567,0.909258295704647,0.986326495554669,0,0,0.469906966601243,-0.120787406818665,1.06060134002115,30.6860567374261,1.62922863682414,-4.67057214475751,0.114417888449662,0.665148252810687,0,0,-0.439191212857402,-1.24424656376479,0.365864138049984,30.6860567374261,-1.11727707265213,-5.35135289245883,0.273331447578605,0.715441746066439,0,0,0.8833269279492113,0,0.9970823955185905,0,0.36106029945328105,0,0.5657167306021842,0
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,29.8494809835625,29.7939608233108,29.9775183123805,29.5508256064777,29.852114544545,29.9240211889473,30.3201303739255,29.9270225782968,29.7567501522016,29.7669306044243,29.9201105368371,29.8704794168554,29.9571310183964,29.9229506378371,29.9263376468745,30.012518640471,30.0572962765014,29.6702268736078,29.712028610638,29.8510536859921,30.0464462273258,30.2865017063863,30.0410766927808,30.0888721490839,29.6293534058591,29.6271834627951,29.8456472385335,30.0628797740514,-0.0514051399111217,-0.334116519011196,0.231306239188953,29.9016731846035,-0.372388483734261,-5.70541437921855,0.712395601514567,0.898668844946296,0,0,0.121065800028493,-0.119130923865017,0.361262523922003,29.9016731846035,1.03225591952794,-5.09443720570232,0.310749212340109,0.955919148852813,0,0,-0.0134920167768193,-0.272882043537257,0.245898009983618,29.9016731846035,-0.106526236507389,-5.87340219845829,0.915921198409954,0.988693524394209,0,0,0.134557816805312,-0.21896396774545,0.488079601356075,29.9016731846035,0.779517261655666,-5.65001539933318,0.442186815229067,0.778365501000726,0,0,0.9827184600028228,0,0.8680569428442961,0,0.9988157661149153,0,0.8960113039186365,0
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,29.7281543860271,29.804832129547,30.4508872081806,29.6906232467876,29.8000669039114,29.648497354702,30.3791471718558,29.9426852845363,29.5382900276192,29.6738355470151,30.0825680746644,29.7360215124404,29.7923469140729,29.7364537752833,30.0345062322465,29.9201271513309,30.1340688069715,29.5442921936863,29.8814891530673,29.8929226322945,29.9529109987039,30.2437222600015,29.5932882100113,29.8761759983098,29.5968189059699,29.6645184105289,29.3916667836254,29.6802316389054,-0.0893232403792297,-0.428192627174966,0.249546146416507,29.8361124611534,-0.539840071235919,-5.63445769844917,0.593557122477729,0.856626643388526,0,0,0.190761178975119,-0.0971484085173817,0.47867076646762,29.8361124611534,1.35695940675186,-4.77089194244665,0.185587712293509,0.955919148852813,0,0,-0.0222871344693445,-0.333202597402036,0.288628328463347,29.8361124611534,-0.146806368974648,-5.86852711999457,0.884332339243434,0.983677224499142,0,0,0.213048313444464,-0.210697312681343,0.63679393957027,29.8361124611534,1.02968848835663,-5.43828908399059,0.311932173709388,0.725558480006239,0,0,0.9544758365225517,0,0.7252163497070995,0,0.9972641625750397,0,0.7802079528372277,0
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,29.2833234860347,29.38990046231,30.2599415529975,29.3389167786184,30.3738860702942,30.1998498159259,29.794461587975,29.2325835446327,29.3706472283925,29.2524899013697,29.9859753638024,29.3619806398013,29.280087714352,29.09655665305,28.9642700461962,28.9988756675999,29.1629236311821,30.082943931413,29.3175555773965,29.3115537375403,29.4202602125651,29.2469201096255,29.5437486993474,29.8088246566281,30.0225484641243,30.0376781946168,29.4917711173853,29.688079500292,-0.0992961291634806,-0.548424939735297,0.349832681408336,29.5470912266239,-0.452787458732019,-5.67454536218563,0.65417609083361,0.874206774946315,0,0,-0.0426480161387843,-0.424236013229456,0.338939980951888,29.5470912266239,-0.228895425753774,-5.53220766134949,0.820606784242095,0.985739882361323,0,0,-0.222825021113685,-0.634904416587429,0.189254374360058,29.5470912266239,-1.10742938222776,-5.30592188613566,0.277491747905061,0.745289410253927,0,0,0.180177004974901,-0.381444600465699,0.741798610415501,29.5470912266239,0.65703505657014,-5.73328852694006,0.516500376556849,0.811064358478086,0,0,0.9587363503031737,0,0.9916034577403803,0,0.7515228428002361,0,0.8877729900013611,0
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3,29.4576979095199,29.4299876483364,27.4625597249668,29.781973397075,29.3291240181835,29.2703736314837,30.0649461417629,29.3578370164083,30.0631304089565,29.6145916809115,29.1712589562874,29.7128481270251,29.6358825207928,29.3770793138806,29.8274207852037,29.0666261605262,29.3204248497769,31.5551537793108,28.9519239168207,28.9243844517667,28.7343019235545,29.0519997438079,29.4534553038056,29.3628734065839,29.2166852984364,29.6305611552041,29.3130471072399,29.3989335626606,-0.181229097114965,-0.898984645696891,0.536526451466961,29.4120386407246,-0.517111687657653,-5.6455889192978,0.60912209711596,0.859551951680423,0,0,0.142171977056318,-0.467646176972566,0.751990131085202,29.4120386407246,0.47747060432049,-5.45505697136252,0.636717530717007,0.972390577517856,0,0,0.214294948463024,-0.444251699170195,0.872841596096244,29.4120386407246,0.666435887479561,-5.66829287562562,0.510563814406627,0.851200413489839,0,0,-0.0721229714067064,-0.96965395588142,0.825408013068007,29.4120386407246,-0.164572454419282,-5.92687858504403,0.870457836001944,0.951840088657657,0,0,0.914075701843254,0,0.937835633648813,0,0.8658379088410693,0,0.9900438444666703,0
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1,29.1238486788748,29.0268933842527,27.6307304318829,28.9376718038131,27.8645158253553,29.0448454381446,28.5931165144778,29.0361846543528,29.2297617947179,29.0634035484224,28.4415011076693,28.9161235136687,29.187133055983,28.6802976395065,28.982618190602,28.3650859983885,28.1553662177723,28.9382995507839,28.4562419450239,28.9421311570948,28.7425454019652,28.3206834194252,28.5535812495453,29.2255169627296,28.7539849798916,28.7089485811269,29.332156343212,28.7495638550936,0.0816455393729036,-0.3925616747007,0.555852753446507,28.7500982587063,0.352612165036892,-5.712096101861,0.727008571379274,0.901538745706211,0,0,0.0735816510949014,-0.329313413227318,0.476476715417121,28.7500982587063,0.374033556730521,-5.49368860611606,0.711184945045286,0.98055322201012,0,0,0.425788164815767,-0.00930087312848699,0.860877202760021,28.7500982587063,2.00423402025661,-4.09342552504532,0.0547620103272582,0.609847559378998,1,0,-0.352206513720866,-0.945187882563481,0.24077485512175,28.7500982587063,-1.21643615751177,-5.24518598098909,0.233931241403749,0.694275538455379,0,0,0.9743058727957948,0,0.9752335466320379,0,0.2903082992746523,0,0.5994994147148361,0
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle",27.5708691942666,31.6821148292289,29.166587360599,28.0465390698953,26.7709100265856,26.2088864051277,28.8730754857781,27.299489753919,27.8980877436106,29.8597877073427,28.0588087766317,27.6831725461063,29.7537232781016,29.6876108936907,27.6080014040487,28.1180004278971,27.1733439274678,27.6709916485573,28.0643449511507,30.969516855769,27.6192843953079,27.7142646098901,27.7907072371221,27.9385469590447,28.2420736211206,28.2559144371254,28.0219434272003,28.1546901982138,-0.403512754385495,-1.70482452855478,0.897799019783788,28.2821888275285,-0.635199576180415,-5.58264763493216,0.530460141176692,0.818262983730003,0,0,0.500296585302245,-0.605321539848878,1.60591471045337,28.2821888275285,0.926950794886219,-5.18211832090906,0.361880961536748,0.955919148852813,0,0,0.626520645041751,-0.567443662302093,1.82048495238559,28.2821888275285,1.07492542329839,-5.33831291114514,0.291592476755976,0.752322165819191,0,0,-0.126224059739506,-1.75347395016007,1.50102583068106,28.2821888275285,-0.158899373751674,-5.92776121042483,0.874889786393242,0.953955666271651,0,0,0.7742725726841109,0,0.6013841045415256,0,0.4620312084431683,0,0.9832707401150217,0
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,27.9981814214274,28.0288793433635,31.1716065423818,27.9537359612003,28.2049465610832,27.6891737887128,30.2559873406107,28.1680509678929,28.239638317191,28.489184247857,29.220228963052,27.8442475556038,28.0990282687689,28.2412741839609,28.1916703074579,28.747634374751,28.3146526997382,29.4893574178963,28.4870398549622,28.6078024051799,28.3303818933123,28.9662841032953,28.3283548016974,28.2454399472214,28.1162403466706,27.844342461787,28.1000090852125,28.490735509089,-0.537414409551303,-1.34169731797126,0.266868498868653,28.4951467382635,-1.36846423814354,-4.92363973947989,0.182001855689652,0.67333684187405,0,0,0.159307017051482,-0.524026353897245,0.842640388000209,28.4951467382635,0.477458094975382,-5.45506220147029,0.636726326145947,0.972390577517856,0,0,-0.700195058189848,-1.43813127357001,0.0377411571903136,28.4951467382635,-1.9432702506473,-4.19340605142718,0.0620549128412488,0.609847559378998,-1,0,0.85950207524133,-0.146228680886644,1.8652328313693,28.4951467382635,1.7502423317815201,-4.54170378274212,0.0909823162112621,0.668105287528259,1,0,0.4002709588651553,0,0.9306112673138257,0,0.14279330318316022,0,0.12741523849688025,0
P13929,ENOB_HUMAN,ENO3,Beta-enolase,28.1583738629481,27.879075542968,25.5257387815946,27.7397300083379,27.9509399807946,27.775753754552,26.6435866703595,28.3637910307613,27.957773361352,27.9655865424913,27.9609650672244,28.0243850784341,28.0136454447755,27.9921455940658,27.9176180981342,27.9959963185411,28.3743277843843,27.0178225642387,28.4781638804431,28.5352483135802,28.5197059106092,28.6573515865476,27.7314375968461,27.7281646493229,27.9924319150004,28.1137518631708,28.6168656107322,27.9372567330839,0.680196289440445,0.0289128231070463,1.33147975577384,27.9131297694748,2.13893304803265,-3.7995387681587802,0.0412644393661517,0.67333684187405,1,0,-0.100735066626388,-0.654077331933353,0.452607198680577,27.9131297694748,-0.372837699598433,-5.49408105992573,0.712064934659309,0.98055322201012,0,0,0.379169450646046,-0.218388512173168,0.97672741346526,27.9131297694748,1.29952993113367,-5.09660299403139,0.204315604404273,0.735322419641641,0,0,-0.479904517272434,-1.2943142308096,0.334505196264735,27.9131297694748,-1.20682661223393,-5.25582915775559,0.237553607699232,0.698171997718347,0,0,0.11437204790462373,0,0.966370250997236,0,0.5476302284141459,0,0.5016781503597092,0
