uniprot_id,protein,gene,description,gene_symbol,CR6_T1,CR6_T2,CR7_T2,CR8_T1,CR8_T2,CR10_T2,CR12_T1,CR12_T2,CR15_T1,CR17_T1,CR17_T2,CR18_T1,CR18_T2,CR22_T1,CR22_T2,CR25_T1,CR25_T2,CR72_T1,CR72_T2,CR149_T1,CR149_T2,CR163_T1,CR163_T2,CR383_T1,CR386_T2,PPS2,PPS20,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS42,PPS44,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi
P02144,MYG_HUMAN,MB,Myoglobin,"=""""",32.1268586845201,31.6817867286278,31.6394650561733,30.7024766248519,31.4566305483381,31.9828605630076,32.1401425870284,31.634117647414,31.5266042535451,31.7439239974008,31.3995928994084,31.1906178815806,31.6035895394888,31.5395356974446,31.4747449725904,31.7746477145083,31.7306959378697,31.7219030028454,31.5405246680108,31.4629389313185,30.9138774659445,31.810653968491,31.4249081851163,31.899378188767,31.8026012220793,31.7514616865037,31.536965229819,31.7498554206675,31.6250413760447,32.1955981537639,32.1087712827492,31.5983021948793,31.8635592968659,32.3636184563525,31.7747933281105,-0.0978573363414164,-0.333853993324999,0.138139320642166,31.6712298112036,-0.842516670882087,-5.51173408414483,0.405355584292053,0.806147287901186,0,0,0.9154273661198199,0
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,"=""""",31.159031542043,30.8134179972013,31.1506632590576,31.0107275028998,31.2316206481367,31.0087269736135,30.7721607451701,30.8391312862589,30.9316794783175,31.0921477160035,31.1738361816879,30.9251333754469,31.1807549710542,31.2065273990373,31.1620084738511,30.8702525306824,30.8318181933452,30.8901981849727,30.9529639146501,31.4437849174176,31.2551954363866,30.8338685586335,30.7990945658741,30.886485162409,31.3857649969881,30.5725380008185,31.0144714733672,30.7547562558393,30.8471096970356,31.07877766339,30.8375917163228,30.7517764291656,30.8107065789463,30.9513597218121,31.2168900486457,0.03471698380352,-0.118131965600492,0.187565933207532,30.9897991884709,0.461498711371916,-5.7429820977033,0.647364398449503,0.892875118189203,0,0,0.985016842344694,0
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,"=""""",30.0814079240536,30.0271926310535,29.7920033362848,30.0898107560767,30.1492531434852,30.1442410235499,29.9882612423687,29.9805896848802,30.1266473225955,30.0970027001662,30.1695737561363,30.1628729056747,30.1695618375153,30.2313624657969,30.274245960923,29.9390760149771,30.0675479452469,30.2546384145452,30.5105953231534,30.2822956478903,30.3255607094035,29.8755936428709,29.8734964037755,30.0565351367863,30.2917400007801,29.8824269537045,29.650551097947,30.0001807077851,29.7307696423454,29.6900582434145,29.8572331835765,30.1458899205713,30.2911128551067,30.0052682664668,29.8723210619918,0.0353322685957291,-0.114603625244411,0.18526816243587,30.0596262246543,0.478803012374451,-5.7353518745889,0.635127532896487,0.884625660514605,0,0,0.9840895719765586,0
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,"=""""",29.9588290735786,30.036332230584,29.9292530363384,30.033968819334,29.8704030837844,30.1593946679961,29.767091052266,29.8854228836246,30.2873429025517,29.9610952168042,30.0034107379158,29.9748571211054,30.2759909515542,30.1385672705181,30.3497409507666,30.107819465569,30.1078483804044,30.1597434226204,30.4672421560411,29.8322394841908,30.1113136549006,29.8398026415647,29.9077253793651,29.6016584071675,29.9071843609045,29.8156415121811,29.817505414437,29.8218133744049,29.9115731095982,29.330840471685,29.5742109675739,30.0565246742953,29.7160955002412,29.5454895235666,29.7673186570859,0.107119517256734,-0.0554713008383879,0.269710335351857,29.9437511587577,1.33863924901583,-5.02021162195761,0.1895240525758,0.69836953419989,0,0,0.8368040090493857,0
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,"=""""",29.5102279225827,29.6175727825303,29.5728344461378,30.6008682043609,30.4153832902238,29.4466453075672,29.5937583143733,29.4607437969937,30.1894972653563,29.5835406262461,29.4881797249129,29.3302986627423,29.2014890093925,29.2162911607389,29.3759289608652,29.5419028996386,29.5238778232467,29.6243690058718,29.469624962378,29.7783538626266,30.0410407080166,30.2595905589706,30.275301594845,29.6985364755186,29.9121621752668,29.4048374149483,30.2613359055133,29.7985730196985,29.7202086641265,30.1495628361651,29.9630190881131,29.6176568127095,28.8914543740058,30.0038853571866,30.0313771138682,-0.0468924920507092,-0.309338088294865,0.215553104193446,29.7305694322211,-0.363040425433527,-5.78111029270941,0.718810167432884,0.92743912262737,0,0,0.9846372985799348,0
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3,"=""""",29.6794243861602,29.6530794869186,30.0108770479458,29.5488222673083,29.4789576825453,29.5677365084375,30.2796854771937,29.8197298447406,29.3751635998518,29.9300186239517,29.8405025286826,29.6043926369015,30.0593000990063,29.2827775904915,29.530371584593,29.1736476002112,29.1341998101178,28.9353536138579,29.2741122488922,29.6833287053288,29.5919397555348,29.4474662392467,29.8623636650456,29.5151291904996,29.6205474695777,29.5415692078056,29.4442058308292,29.0586102164425,29.0339323888419,29.5661588160837,29.1013432877652,29.4410879695886,28.7400414032764,30.1539063490891,28.7194804586954,0.0953543234446137,-0.146355124657955,0.337063771547183,29.5056932454702,0.801563118463549,-5.54286184133411,0.428343025911721,0.818232785949558,0,0,0.9223372458745813,0
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1,"=""""",29.333059656871,29.2401544326052,29.157099774856,28.0706021370211,29.2398802508615,29.2352181379046,29.432916148355,29.263811403009,28.6506914581097,29.1235591434236,29.3846337041812,28.8920980017816,29.2027295453294,28.5786712326478,28.3591652824339,28.6719071393521,29.1479368917509,28.9374890979954,28.5427609850273,28.7743205500287,29.4486911419364,28.9730470303529,28.9300201948148,29.5224830272283,28.9681756197547,29.3411601464501,29.3553215841511,29.4283406731507,28.9347105840128,29.4377780207236,29.461992286729,28.7869169350303,29.5615503775953,29.4130771337764,29.3653461708342,0.189168142574555,-0.0561857707507535,0.434522055899864,29.0904947400024,1.56655617985558,-4.72730692854847,0.126430609021854,0.639019593334369,0,0,0.6762371950709403,0
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle","=""""",27.7678275550127,31.8815465127658,28.2485417094902,26.9517606857724,26.3811736960949,27.4905720483076,28.0816886598159,30.0471715843505,28.2600362986774,27.8786774036194,29.9402923391701,29.8851280875545,27.8137858691391,28.3279960357399,27.3669881598576,28.2730352489543,31.164724256835,27.8041129027772,27.9320356402917,27.9956115544217,28.1492066595301,28.4391434797071,28.455820129772,28.2025644228918,28.3613407584756,28.6203630183298,28.4594763447639,28.6100224090627,27.0544560614003,28.3767986695154,27.5450433896823,26.9845826888648,27.9237393470073,28.2055817974217,27.7447417115922,0.631247127534056,-0.139870192383987,1.4023644474521,28.3035882039047,1.66358018314575,-4.59074650324548,0.105381968566746,0.625865380283813,0,0,0.2416150810279244,0
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,"=""""",28.2051806882033,28.2342720729362,28.1594305668895,28.3909007479754,27.8676579613528,28.3688509648719,28.4303110615043,28.6761096340217,29.4103359167141,28.0462034994225,28.2892478784286,28.4511105833693,28.4050577937885,28.9587696040018,28.5111950146936,28.6999977883067,28.8030282726212,28.5181699120417,29.1815589838431,28.5371624289891,28.4579236186999,28.3177037419513,28.047889528177,28.2906966271654,28.6951834246349,28.8068413875098,28.2340194815877,28.4595922995117,28.4016839592285,28.0551308177336,28.3175357906474,28.2123962201176,28.440759045637,28.5476072480373,28.0512207944774,-0.0668839792309317,-0.305528053981528,0.171760095519664,28.4423067245455,-0.569458934753841,-5.69086600884903,0.57276833906656,0.858331728518101,0,0,0.9634133780914403,0
P13929,ENOB_HUMAN,ENO3,Beta-enolase,"=""""",28.3459709303846,28.0746428267159,27.9413918283513,28.1315346071139,27.9457589333861,28.5451226340123,28.1375400795203,28.1568420797592,28.1782790419848,28.2149494525476,28.1986036900364,28.1782398656627,28.1177200109341,28.2058329518427,28.5671309652942,28.6836040139508,28.733218374861,28.7034498883977,28.8798079793228,27.9353812264228,27.9398829561546,28.1893561747184,28.3143042688532,28.7875808191727,28.1496973366429,28.9844235009364,28.5574107897833,28.4871023449912,29.0035714198035,27.577686956266,28.3146881447282,28.8994446968203,28.5868553378175,27.8787047505006,27.9713021649426,-0.0191290402013919,-0.256371988055458,0.218113907652674,28.3290580869324,-0.163829019485262,-5.83054997152946,0.870830629042436,0.973408910916163,0,0,0.9973578017442639,0
