uniprot_id,protein,gene,description,gene_symbol,CR6_T1,CR6_T2,CR7_T1,CR7_T2,CR8_T1,CR8_T2,CR9_T2,CR10_T2,CR12_T1,CR12_T2,CR15_T1,CR17_T1,CR17_T2,CR18_T1,CR18_T2,CR22_T1,CR22_T2,CR23_T1,CR25_T1,CR25_T2,CR72_T1,CR72_T2,CR149_T1,CR149_T2,CR163_T1,CR163_T2,CR383_T1,CR386_T2,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi
P02144,MYG_HUMAN,MB,Myoglobin,"=""""",31.8650141071531,31.4189415033803,28.4708643899665,31.3626387337645,30.4116937907585,31.1822982625123,32.242846916044,31.744064216606,31.8639309779286,31.3953712689394,31.3136187295859,31.4897896209998,31.1643563363248,30.9117351664429,31.3268576790069,31.3121418831992,31.2379155140582,32.5556167774103,31.5318512383887,31.495192632568,31.4929173887222,31.3115620424294,31.188806943254,30.6574261534647,31.5194694227009,31.1366729359522,31.6613858036629,31.5540064067442,0.0351342304698896,-0.629883790352768,0.700152251292547,31.3149638157846,0.108200686721675,-5.55016336455963,0.914604881616574,0.986326495554669,0,0,0.9968687213173575,0
P06732,KCRM_HUMAN,CKM,Creatine kinase M-type,"=""""",30.9133409536491,30.56461584825,27.9524522681308,30.8888765825346,30.7422309935382,30.9786839013191,30.499309350434,30.7832544015189,30.5167829162057,30.6100382768155,30.7170585353266,30.8518030704891,30.9494209032586,30.6675306062091,30.9209183194592,30.9838237695847,30.9343729278899,31.0107864783807,30.6358221266016,30.6037156358918,30.67057992887,30.725767449283,31.1839690889043,31.0069021087883,30.561437477546,30.5281135330758,30.6639652740692,31.1440159219059,0.0307157537438414,-0.516270786524451,0.577702294012133,30.6860567374261,0.115005211958254,-5.54949253795567,0.909258295704647,0.986326495554669,0,0,0.9970823955185905,0
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,"=""""",29.8494809835625,29.7939608233108,29.9775183123805,29.5508256064777,29.852114544545,29.9240211889473,30.3201303739255,29.9270225782968,29.7567501522016,29.7669306044243,29.9201105368371,29.8704794168554,29.9571310183964,29.9229506378371,29.9263376468745,30.012518640471,30.0572962765014,29.6702268736078,29.712028610638,29.8510536859921,30.0464462273258,30.2865017063863,30.0410766927808,30.0888721490839,29.6293534058591,29.6271834627951,29.8456472385335,30.0628797740514,0.121065800028493,-0.119130923865017,0.361262523922003,29.9016731846035,1.03225591952794,-5.09443720570232,0.310749212340109,0.955919148852813,0,0,0.8680569428442961,0
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,"=""""",29.7281543860271,29.804832129547,30.4508872081806,29.6906232467876,29.8000669039114,29.648497354702,30.3791471718558,29.9426852845363,29.5382900276192,29.6738355470151,30.0825680746644,29.7360215124404,29.7923469140729,29.7364537752833,30.0345062322465,29.9201271513309,30.1340688069715,29.5442921936863,29.8814891530673,29.8929226322945,29.9529109987039,30.2437222600015,29.5932882100113,29.8761759983098,29.5968189059699,29.6645184105289,29.3916667836254,29.6802316389054,0.190761178975119,-0.0971484085173817,0.47867076646762,29.8361124611534,1.35695940675186,-4.77089194244665,0.185587712293509,0.955919148852813,0,0,0.7252163497070995,0
P12277,KCRB_HUMAN,CKB,Creatine kinase B-type,"=""""",29.2833234860347,29.38990046231,30.2599415529975,29.3389167786184,30.3738860702942,30.1998498159259,29.794461587975,29.2325835446327,29.3706472283925,29.2524899013697,29.9859753638024,29.3619806398013,29.280087714352,29.09655665305,28.9642700461962,28.9988756675999,29.1629236311821,30.082943931413,29.3175555773965,29.3115537375403,29.4202602125651,29.2469201096255,29.5437486993474,29.8088246566281,30.0225484641243,30.0376781946168,29.4917711173853,29.688079500292,-0.0426480161387843,-0.424236013229456,0.338939980951888,29.5470912266239,-0.228895425753774,-5.53220766134949,0.820606784242095,0.985739882361323,0,0,0.9916034577403803,0
P07451,CAH3_HUMAN,CA3,Carbonic anhydrase 3,"=""""",29.4576979095199,29.4299876483364,27.4625597249668,29.781973397075,29.3291240181835,29.2703736314837,30.0649461417629,29.3578370164083,30.0631304089565,29.6145916809115,29.1712589562874,29.7128481270251,29.6358825207928,29.3770793138806,29.8274207852037,29.0666261605262,29.3204248497769,31.5551537793108,28.9519239168207,28.9243844517667,28.7343019235545,29.0519997438079,29.4534553038056,29.3628734065839,29.2166852984364,29.6305611552041,29.3130471072399,29.3989335626606,0.142171977056318,-0.467646176972566,0.751990131085202,29.4120386407246,0.47747060432049,-5.45505697136252,0.636717530717007,0.972390577517856,0,0,0.937835633648813,0
Q13642,FHL1_HUMAN,FHL1,Four and a half LIM domains protein 1,"=""""",29.1238486788748,29.0268933842527,27.6307304318829,28.9376718038131,27.8645158253553,29.0448454381446,28.5931165144778,29.0361846543528,29.2297617947179,29.0634035484224,28.4415011076693,28.9161235136687,29.187133055983,28.6802976395065,28.982618190602,28.3650859983885,28.1553662177723,28.9382995507839,28.4562419450239,28.9421311570948,28.7425454019652,28.3206834194252,28.5535812495453,29.2255169627296,28.7539849798916,28.7089485811269,29.332156343212,28.7495638550936,0.0735816510949014,-0.329313413227318,0.476476715417121,28.7500982587063,0.374033556730521,-5.49368860611606,0.711184945045286,0.98055322201012,0,0,0.9752335466320379,0
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle","=""""",27.5708691942666,31.6821148292289,29.166587360599,28.0465390698953,26.7709100265856,26.2088864051277,28.8730754857781,27.299489753919,27.8980877436106,29.8597877073427,28.0588087766317,27.6831725461063,29.7537232781016,29.6876108936907,27.6080014040487,28.1180004278971,27.1733439274678,27.6709916485573,28.0643449511507,30.969516855769,27.6192843953079,27.7142646098901,27.7907072371221,27.9385469590447,28.2420736211206,28.2559144371254,28.0219434272003,28.1546901982138,0.500296585302245,-0.605321539848878,1.60591471045337,28.2821888275285,0.926950794886219,-5.18211832090906,0.361880961536748,0.955919148852813,0,0,0.6013841045415256,0
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,"=""""",27.9981814214274,28.0288793433635,31.1716065423818,27.9537359612003,28.2049465610832,27.6891737887128,30.2559873406107,28.1680509678929,28.239638317191,28.489184247857,29.220228963052,27.8442475556038,28.0990282687689,28.2412741839609,28.1916703074579,28.747634374751,28.3146526997382,29.4893574178963,28.4870398549622,28.6078024051799,28.3303818933123,28.9662841032953,28.3283548016974,28.2454399472214,28.1162403466706,27.844342461787,28.1000090852125,28.490735509089,0.159307017051482,-0.524026353897245,0.842640388000209,28.4951467382635,0.477458094975382,-5.45506220147029,0.636726326145947,0.972390577517856,0,0,0.9306112673138257,0
P13929,ENOB_HUMAN,ENO3,Beta-enolase,"=""""",28.1583738629481,27.879075542968,25.5257387815946,27.7397300083379,27.9509399807946,27.775753754552,26.6435866703595,28.3637910307613,27.957773361352,27.9655865424913,27.9609650672244,28.0243850784341,28.0136454447755,27.9921455940658,27.9176180981342,27.9959963185411,28.3743277843843,27.0178225642387,28.4781638804431,28.5352483135802,28.5197059106092,28.6573515865476,27.7314375968461,27.7281646493229,27.9924319150004,28.1137518631708,28.6168656107322,27.9372567330839,-0.100735066626388,-0.654077331933353,0.452607198680577,27.9131297694748,-0.372837699598433,-5.49408105992573,0.712064934659309,0.98055322201012,0,0,0.966370250997236,0
